Código operación,Nit,Nombre entidad
1,8600029644,BANCO DE BOGOTA
2,8600077389,BANCO POPULAR
6,8909039370,ITAÚ CORPBANCA COLOMBIA S.A.
7,8909039388,BANCOLOMBIA S.A.
9,8600511354,BANCO CITIBANK
12,8600507501,BANCO GNB SUDAMERIS
13,8600030201,BBVA COLOMBIA
19,8600345941,SCOTIABANK COLPATRIA S.A.
23,8903002794,BANCO DE OCCIDENTE
31,8001499236,BANCO DE COMERCIO EXTERIOR BANCOLDEX
32,8600073354,BANCO CAJA SOCIAL
40,8000378008,BANCO AGRARIO DE COLOMBIA S.A.- BANAGRARIO
51,8600343137,BANCO DAVIVIENDA
52,8600358275,BANCO COMERCIAL AV VILLAS
53,9002009609,BANCO CREDIFINANCIERA S.A.
54,9003782122,BANCO W S.A.
55,9000479818,BANCO FALABELLA S.A.
56,9006281103,BANCO SANTANDER DE NEGOCIOS COLOMBIA S.A.
66,8903006536,CORPORACION FINANCIERA COLOMBIANA S.A.
69,8600431866,BANCO SERFINANZA S.A
83,8605090229,FINANCIERA DE DESARROLLO NACIONAL S.A.
101,9001143468,BANCO J.P. MORGAN COLOMBIA S.A.
222,8000963291,FINANCIERA DE DESARROLLO TERRITORIAL S.A. FINDETER
223,9014915510,BANCO BTG PACTUAL COLOMBIA S.A.
253,8909270349,COLTEFINANCIERA S.A. COMPAÑÍA DE FINANCIAMIENTO
269,8902007567,BANCO PICHINCHA
303,8600067979,GIROS Y FINANZAS COMPAÑÍA DE FINANCIAMIENTO S.A.
327,9004085370,BNP PARIBAS COLOMBIA CORPORACIÓN FINANCIERA S.A.
331,9004064721,CREDIFAMILIA CF
400,8909813951,CONFIAR - COOPERATIVA FINANCIERA
501,8600681825,CREDICORP CAPITAL COLOMBIA S.A.
504,9001823894,CÁMARA DE RIESGO CENTRAL DE CONTRAPARTE COLOMBIA
509,8600791743,CORREDORES DAVIVIENDA S.A. COMISIONISTA DE BOLSA
510,8600715621,ACCIONES Y VALORES S.A. COMISIONISTA DE BOLSA
513,8600001854,ALIANZA VALORES - COMISIONISTA DE BOLSA S.A.
517,8001287358,VALORES BANCOLOMBIA S.A COMISIONISTA DE BOLSA
529,8909071570,BTG PACTUAL COLOMBIA S.A. COMISIONISTA DE BOLSA
533,8002031865,CASA DE BOLSA S.A. SOCIEDAD COMISIONISTA DE BOLSA
535,8300352173,ITAÚ COMISIONISTA DE BOLSA COLOMBIA S.A.
536,9005771404,LARRAÍN VIAL COLOMBIA S.A COMISIONISTA DE BOLSA
537,8301181205,SERVIVALORES GNB SUDAMERIS S.A.
813,9010779526,MOVII S.A
814,9010774113,PAGOS GDE S.A.
815,9014292728,GLOBAL COLOMBIA 81 S.A.
